id,url,price,with_discount,content_length
74,https://www.udemy.com/course/data-structure-and-algorithms-in-java-8-and-above/,13.99,29.99,6.5
75,https://www.udemy.com/course/content-writing/,19.99,,0.67
76,https://www.udemy.com/course/writing-for-children/,12.99,94.99,3.0
77,https://www.udemy.com/course/guide-to-design-thinking/,12.99,49.99,0.58
78,https://www.udemy.com/course/internet-of-things-iot-for-beginners-getting-started/,13.99,24.99,1.0
79,https://www.udemy.com/course/fundamentals-of-intelligent-sustainable-business/,12.99,79.99,4.0
80,https://www.udemy.com/course/mastering-pentaho-business-intelligence-tool/,12.99,94.99,3.0
81,https://www.udemy.com/course/exponentialsmoothing/,19.99,,1.0
82,https://www.udemy.com/course/mastering-data-analysis-in-excel-am/,21.99,99.99,5.0
83,https://www.udemy.com/course/data-analysis-with-excel/,13.99,19.99,10.5
84,https://www.udemy.com/course/business-data-analysis-excel/,16.99,119.99,12.0
85,https://www.udemy.com/course/data-analysis-with-r/,12.99,74.99,5.0
86,https://www.udemy.com/course/excel-in-the-world-of-data-analytics/,13.99,94.99,4.5
87,https://www.udemy.com/course/introduction-to-microsoft-azure-iot/,18.99,124.99,3.0
88,https://www.udemy.com/course/microsoft-azure-2017/,,,
89,https://www.udemy.com/course/learn-microsoft-azure-batch/,13.99,19.99,0.62
90,https://www.udemy.com/course/exam-az-900-microsoft-azure-fundamentals/,,,
91,https://www.udemy.com/course/az-900-microsoft-azure-fundamentals-cert-prep/,13.99,74.99,2.5
92,https://www.udemy.com/course/az-103-exam-prep-deploy-and-manage-virtual-machines/,13.99,49.99,2.0
93,https://www.udemy.com/course/configure-and-manage-azure-virtual-networks/,13.99,34.99,4.0
94,https://www.udemy.com/course/microsoft-azure-70-533/,14.99,19.99,6.0
95,https://www.udemy.com/course/implement-advanced-virtual-networking/,13.99,39.99,3.0
96,https://www.udemy.com/course/continuous-integration-on-gitlab/,13.99,94.99,1.0
97,https://www.udemy.com/course/the-best-solution-architect-a-complete-understanding/,14.99,19.99,2.0
98,https://www.udemy.com/course/implementing-mfa/,13.99,19.99,0.72
99,https://www.udemy.com/course/security-certification-identity-and-access-domain/,13.99,94.99,2.0
100,https://www.udemy.com/course/windows-10-administration-z/,13.99,94.99,1.5
101,https://www.udemy.com/course/installing-and-configuring-windows-10-certification/,34.99,,
102,https://www.udemy.com/course/setup-office-365-services-for-beginners/,13.99,19.99,1.5
103,https://www.udemy.com/course/sharepoint-online-level-1/,14.99,49.99,3.5
104,https://www.udemy.com/course/sharepoint-2013-for-power-users/,13.99,39.99,3.0
105,https://www.udemy.com/course/excel-on-sharepoint/,13.99,19.99,2.5
106,https://www.udemy.com/course/microsoft-access-intermediate/,13.99,19.99,2.5
107,https://www.udemy.com/course/officemanagement-101/,12.99,49.99,1.0
108,https://www.udemy.com/course/office-management/,12.99,24.99,1.5
109,https://www.udemy.com/course/dynamics-365-customer-engagement-crm-advanced-developer-course/,14.99,24.99,3.0
110,https://www.udemy.com/course/robotic-process-automation/,12.99,94.99,2.0
111,https://www.udemy.com/course/rpa-strategy-q-a/,,,
112,https://www.udemy.com/course/introduction-to-robotic-process-automation-rpa/,13.99,94.99,0.58
