id,price,with_discount,url
80,94.99,13.99,https://www.udemy.com/course/mastering-pentaho-business-intelligence-tool/
81,,19.99,https://www.udemy.com/course/exponentialsmoothing/
82,99.99,23.99,https://www.udemy.com/course/mastering-data-analysis-in-excel-am/
83,19.99,13.99,https://www.udemy.com/course/data-analysis-with-excel/
84,119.99,17.99,https://www.udemy.com/course/business-data-analysis-excel/
85,74.99,13.99,https://www.udemy.com/course/data-analysis-with-r/
86,94.99,13.99,https://www.udemy.com/course/excel-in-the-world-of-data-analytics/
87,124.99,18.99,https://www.udemy.com/course/introduction-to-microsoft-azure-iot/
88,,,https://www.udemy.com/course/microsoft-azure-2017/
89,19.99,13.99,https://www.udemy.com/course/learn-microsoft-azure-batch/
90,,,https://www.udemy.com/course/exam-az-900-microsoft-azure-fundamentals/
91,74.99,13.99,https://www.udemy.com/course/az-900-microsoft-azure-fundamentals-cert-prep/
92,49.99,13.99,https://www.udemy.com/course/az-103-exam-prep-deploy-and-manage-virtual-machines/
93,34.99,13.99,https://www.udemy.com/course/configure-and-manage-azure-virtual-networks/
94,19.99,14.99,https://www.udemy.com/course/microsoft-azure-70-533/
95,39.99,13.99,https://www.udemy.com/course/implement-advanced-virtual-networking/
96,94.99,13.99,https://www.udemy.com/course/continuous-integration-on-gitlab/
97,19.99,14.99,https://www.udemy.com/course/the-best-solution-architect-a-complete-understanding/
98,19.99,13.99,https://www.udemy.com/course/implementing-mfa/
99,94.99,13.99,https://www.udemy.com/course/security-certification-identity-and-access-domain/
100,94.99,13.99,https://www.udemy.com/course/windows-10-administration-z/
101,,34.99,https://www.udemy.com/course/installing-and-configuring-windows-10-certification/
102,19.99,13.99,https://www.udemy.com/course/setup-office-365-services-for-beginners/
103,49.99,14.99,https://www.udemy.com/course/sharepoint-online-level-1/
104,39.99,13.99,https://www.udemy.com/course/sharepoint-2013-for-power-users/
105,19.99,13.99,https://www.udemy.com/course/excel-on-sharepoint/
106,19.99,13.99,https://www.udemy.com/course/microsoft-access-intermediate/
107,49.99,13.99,https://www.udemy.com/course/officemanagement-101/
108,24.99,13.99,https://www.udemy.com/course/office-management/
109,24.99,14.99,https://www.udemy.com/course/dynamics-365-customer-engagement-crm-advanced-developer-course/
110,94.99,13.99,https://www.udemy.com/course/robotic-process-automation/
111,,,https://www.udemy.com/course/rpa-strategy-q-a/
112,94.99,13.99,https://www.udemy.com/course/introduction-to-robotic-process-automation-rpa/
113,39.99,13.99,https://www.udemy.com/course/advanced-enterprise-rpa/
